Scenario: ,1stGroup_of_BukScenarios_CA.scenario
Author: ,Not specified


Duration,14 m 58 s
Start Time,Wed Feb 05 10:26:34 UTC 2025
End Time,Wed Feb 05 10:43:57 UTC 2025
Total Users,18
Total Hits,569
Total Throughput ,23959.98 KB
Average Hits,0.6336 hits/s
Average Throughput/s,26.6815 KB/s
Consumed Bandwidth,218.5748 kbps
Testcases passed,16
Testcases failed,2
Testcases error rate,11.1111
Step passed,16
Step failed,2
Step error rate %,11.1111
All durations and sizes are for successes only


Testcase name,Total Users,Active Users,Step name,Request name,Response Code,Success Count,Failure Count,Total Step,Total Request,Average Duration (sec),Standard Deviation Duration (sec),Minimum Duration (sec),Median Duration (sec),Mode Duration (sec),Duration 85 Percentile (sec),Duration 90 Percentile (sec),Duration 95 Percentile (sec),Maximum Duration (sec),Average Size (Kb),Standard Deviation Size (Kb),Minimum Size (Kb),Median Size (Kb),Mode Size (Kb),Size 85 Percentile (Kb),Size 90 Percentile (Kb),Size 95 Percentile (Kb),Maximum Size (Kb)
"",,,,https://www.avantorsciences.com:443/675.59208d8b8b4a38bd.js,,1,0,0,1,0.024,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,21.55,0.0,21.55,21.55,21.55,21.55,21.55,21.55,21.55
"",,,,,200,1,0,0,0,0.024,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://content.hotjar.io:443/?0__=0&gzi_=0,,1,0,0,1,0.326,0.0,0.326,0.326,0.326,0.326,0.326,0.326,0.326,16.61,0.0,16.61,16.61,16.61,16.61,16.61,16.61,16.61
"",,,,,200,1,0,0,0,0.326,0.0,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,"1.2) Click(fallback(`submit('Accept all cookies')`,...))",,,1,0,1,4,4.887,0.0,4.887,4.887,4.887,4.887,4.887,4.887,4.887,48.71,0.0,48.71,48.71,48.71,48.71,48.71,48.71,48.71
"",,,,https://px.ads.linkedin.com:443/wa/,,1,0,0,1,0.053,0.0,0.053,0.053,0.053,0.053,0.053,0.053,0.053,1.9,0.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9
"",,,,,204,1,0,0,0,0.053,0.0,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://z.clarity.ms:443/collect,,2,0,0,2,0.196,0.002,0.193,0.193,0.196,0.199,0.199,0.199,0.199,22.44,20.68,1.76,1.76,22.44,43.12,43.12,43.12,43.12
"",,,,,204,2,0,0,0,0.196,0.002,0.193,0.193,0.196,0.199,0.199,0.199,0.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://px.ads.linkedin.com:443/attribution_trigger?0=1502532&_=0&url=https%3A%2F%2Fwww.avantorsciences.com%2Fca%2Fen%2F,,1,0,0,1,0.131,0.0,0.131,0.131,0.131,0.131,0.131,0.131,0.131,1.93,0.0,1.93,1.93,1.93,1.93,1.93,1.93,1.93
