Scenario: ,1stGroup_of_BukScenarios_CA.scenario
Author: ,Not specified


Duration,15 m 50 s
Start Time,Thu Feb 13 14:24:16 UTC 2025
End Time,Thu Feb 13 14:43:02 UTC 2025
Total Users,18
Total Hits,553
Total Throughput ,22145.46 KB
Average Hits,0.5821 hits/s
Average Throughput/s,23.311 KB/s
Consumed Bandwidth,190.9638 kbps
Testcases passed,15
Testcases failed,3
Testcases error rate,16.6667
Step passed,15
Step failed,3
Step error rate %,16.6667
All durations and sizes are for successes only


Testcase name,Total Users,Active Users,Step name,Request name,Response Code,Success Count,Failure Count,Total Step,Total Request,Average Duration (sec),Standard Deviation Duration (sec),Minimum Duration (sec),Median Duration (sec),Mode Duration (sec),Duration 85 Percentile (sec),Duration 90 Percentile (sec),Duration 95 Percentile (sec),Maximum Duration (sec),Average Size (Kb),Standard Deviation Size (Kb),Minimum Size (Kb),Median Size (Kb),Mode Size (Kb),Size 85 Percentile (Kb),Size 90 Percentile (Kb),Size 95 Percentile (Kb),Maximum Size (Kb)
"",,,,,200,1,0,0,0,0.037,0.0,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://www.avantorsciences.com:443/assets/images/myaccount.png,,1,0,0,1,0.026,0.0,0.026,0.026,0.026,0.026,0.026,0.026,0.026,4.83,0.0,4.83,4.83,4.83,4.83,4.83,4.83,4.83
"",,,,,200,1,0,0,0,0.026,0.0,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://content.hotjar.io:443/?0__=0&gzi_=0,,1,0,0,1,0.33,0.0,0.33,0.33,0.33,0.33,0.33,0.33,0.33,16.75,0.0,16.75,16.75,16.75,16.75,16.75,16.75,16.75
"",,,,,200,1,0,0,0,0.33,0.0,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,"1.2) Click(fallback(`submit('Accept all cookies')`,...))",,,1,0,1,3,4.953,0.0,4.953,4.953,4.953,4.953,4.953,4.953,4.953,5.58,0.0,5.58,5.58,5.58,5.58,5.58,5.58,5.58
"",,,,https://px.ads.linkedin.com:443/wa/,,1,0,0,1,0.058,0.0,0.058,0.058,0.058,0.058,0.058,0.058,0.058,1.9,0.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9
"",,,,,204,1,0,0,0,0.058,0.0,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://z.clarity.ms:443/collect,,1,0,0,1,0.227,0.0,0.227,0.227,0.227,0.227,0.227,0.227,0.227,1.76,0.0,1.76,1.76,1.76,1.76,1.76,1.76,1.76
"",,,,,204,1,0,0,0,0.227,0.0,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://px.ads.linkedin.com:443/attribution_trigger?0=1502532&_=0&url=https%3A%2F%2Fwww.avantorsciences.com%2Fca%2Fen%2F,,1,0,0,1,0.149,0.0,0.149,0.149,0.149,0.149,0.149,0.149,0.149,1.93,0.0,1.93,1.93,1.93,1.93,1.93,1.93,1.93
"",,,,,200,1,0,0,0,0.149,0.0,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,"1.3) AssertExists(fallback(`image(0, _in(header('cx-header'))).xy(0.64, 0.58 )`,...))",,,1,0,1,1,0.024,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,42.66,0.0,42.66,42.66,42.66,42.66,42.66,42.66,42.66
"",,,,https://z.clarity.ms:443/collect,,1,0,0,1,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,42.66,0.0,42.66,42.66,42.66,42.66,42.66,42.66,42.66
"",,,,,204,1,0,0,0,0.07,0.0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,1.4) CustomJS(LaunchBrowser($URL)),,,1,0,1,0,0.024,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,"1.5) Click(submit(4, _in(div('ProductDetail'))))",,,1,0,1,3,0.232,0.0,0.232,0.232,0.232,0.232,0.232,0.232,0.232,33.42,0.0,33.42,33.42,33.42,33.42,33.42,33.42,33.42
"",,,,https://px.ads.linkedin.com:443/wa/,,2,0,0,2,0.104,0.058,0.045,0.045,0.104,0.163,0.163,0.163,0.163,2.37,0.45,1.92,1.92,2.37,2.83,2.83,2.83,2.83
"",,,,,204,2,0,0,0,0.104,0.058,0.045,0.045,0.104,0.163,0.163,0.163,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://z.clarity.ms:443/collect,,1,0,0,1,0.024,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,28.67,0.0,28.67,28.67,28.67,28.67,28.67,28.67,28.67
"",,,,,204,1,0,0,0,0.024,0.0,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,"1.6) SetValue(fallback(`textbox(7, _in(div('ProductDetail')))`,...),58.08 g/mol)",,,1,0,1,1,0.082,0.0,0.082,0.082,0.082,0.082,0.082,0.082,0.082,2.11,0.0,2.11,2.11,2.11,2.11,2.11,2.11,2.11
"",,,,https://z.clarity.ms:443/collect,,1,0,0,1,0.082,0.0,0.082,0.082,0.082,0.082,0.082,0.082,0.082,2.11,0.0,2.11,2.11,2.11,2.11,2.11,2.11,2.11
"",,,,,204,1,0,0,0,0.082,0.0,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,"1.7) Click(fallback(`submit('Search')`,...))",,,1,0,1,4,0.238,0.0,0.238,0.238,0.238,0.238,0.238,0.238,0.238,57.54,0.0,57.54,57.54,57.54,57.54,57.54,57.54,57.54
"",,,,https://px.ads.linkedin.com:443/wa/,,2,0,0,2,0.068,0.012,0.055,0.055,0.068,0.081,0.081,0.081,0.081,2.47,0.57,1.9,1.9,2.47,3.04,3.04,3.04,3.04
"",,,,,204,2,0,0,0,0.068,0.012,0.055,0.055,0.068,0.081,0.081,0.081,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://www.avantorsciences.com:443/888.33e423f3922d86fb.js,,1,0,0,1,0.076,0.0,0.076,0.076,0.076,0.076,0.076,0.076,0.076,23.68,0.0,23.68,23.68,23.68,23.68,23.68,23.68,23.68
"",,,,,200,1,0,0,0,0.076,0.0,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,,https://z.clarity.ms:443/collect,,1,0,0,1,0.026,0.0,0.026,0.026,0.026,0.026,0.026,0.026,0.026,28.92,0.0,28.92,28.92,28.92,28.92,28.92,28.92,28.92
"",,,,,204,1,0,0,0,0.026,0.0,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,"1.8) AssertExists(fallback(`byXPath('//*[@class='cx-product-name'][1]')`,...))",,,1,0,1,0,0.065,0.0,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",,,"1.9) CustomJS(AdvanceSearch('7',$MolecularWeight))",,,1,0,1,0,0.065,0.0,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advance Search-AdvanceSearch_PartNumber.ds,1,0,,,,1,0,9,31,6.358,0.0,6.358,6.358,6.358,6.358,6.358,6.358,6.358,1313.52,0.0,1313.52,1313.52,1313.52,1313.52,1313.52,1313.52,1313.52
"",,,1) Untitled1,,,1,0,9,31,6.358,0.0,6.358,6.358,6.358,6.358,6.358,6.358,6.358,1313.52,0.0,1313.52,1313.52,1313.52,1313.52,1313.52,1313.52,1313.52
